,noaa,time_0,lat_0,lon_0,th_0,f_0,fn_0,fp_0,a_f_0,a_fn_0,a_fp_0,hmin_0,hmax_0,time_1,dtime_1,lat_1,lon_1,th_1,f_1,fn_1,fp_1,a_f_1,a_fn_1,a_fp_1,f_rate_1,hmin_1,hmax_1,vmin_1,th_vmin_1,vmax_1,th_vmax_1,vnmean_1,th_vnmean_1,vpmean_1,th_vpmean_1,time_2,dtime_2,lat_2,lon_2,th_2,sm,f_2,fn_2,fp_2,a_f_2,a_fn_2,a_fp_2,f_rate_2,hmin_2,hmax_2,s_a_2,s_n_2,s_big_a_2
20,9014a,2000-05-19 16:03:00,-43.38589,-38.64517,53.57749,1.4729727e+20,-1.2792597e+20,8.060991e+19,1.5084882e+18,34.227272,23.22727,-292.12115,98.20166,2000-05-20 04:03:00,12.0,-43.469406,-32.482365,50.50258,5.13562e+20,-1.8728937e+20,2.2594512e+20,3.7296168e+18,39.454525,61.818172,3.0522062e+19,-637.8465,465.0073,-1345.1621,53.37924,1272.4178,51.063206,-210.38754,53.379307,251.38005,52.206154,2000-05-20 12:13:59,28.849998,-43.020218,-29.38266,48.6792,,6.793141e+20,-3.5774857e+20,3.2156553e+20,4.992782e+18,71.72721,84.63628,1.8440792e+19,-828.7424,479.38742,1.974708,1.0,1.974708
21,9021,2000-05-27 16:24:00,3.2393222,-35.29614,35.612637,6.8220633e+19,-1.38665445e+20,5.8319025e+19,5.837329e+17,46.072193,26.115807,-346.7683,109.2578,2000-05-28 04:24:00,12.0,3.2192566,-28.435371,28.73854,6.4198876e+20,-4.9122612e+20,2.8871865e+20,3.4627118e+18,141.72728,58.909077,4.781401e+19,-946.0022,988.39734,-1651.6805,34.309555,829.5808,35.32127,-232.2233,34.165985,196.07922,32.743652,2000-05-29 04:42:59,36.316666,3.2419903,-15.094805,15.633277,,3.0986722e+21,-1.6207982e+21,1.4778745e+21,1.3198189e+19,310.86356,299.6817,8.344521e+19,-1755.0942,1952.6245,18.547379,2.0,9.225033
22,9023,2000-05-28 21:56:00,-2.5273027,-3.736654,4.0412683,3.5650187e+19,-1.02367875e+20,5.1476073e+19,4.383069e+17,49.36364,24.27273,-130.03445,127.99358,2000-05-29 09:56:00,12.0,-2.5882137,3.5177162,3.922632,2.0055413e+21,-3.9758706e+20,2.99132e+20,6.445446e+18,93.00001,71.81821,1.641576e+20,-2025.8674,1503.5758,-362.0172,2.4948628,959.86743,1.5441831,-90.9713,2.2571394,139.50964,2.8517241,2000-05-31 20:32:59,78.51666,-3.350262,36.986984,37.12458,,6.279622e+21,-3.4584284e+21,2.810434e+21,2.460747e+19,501.27234,439.7276,7.952416e+19,-2405.765,1697.7388,33.965355,3.0,32.476055
23,9025,2000-05-31 03:06:00,14.865725,54.533745,56.047344,6.264156e+19,-2.9620137e+19,5.757362e+19,7.9653976e+17,10.772725,19.681816,-106.57174,158.51657,2000-05-31 15:06:00,12.0,14.842635,60.985054,62.3231,8.717796e+20,-2.5095545e+20,6.601036e+20,6.1981246e+18,46.272804,104.36366,6.742817e+19,-540.869,495.51062,-1344.8202,58.468086,1201.9426,57.12787,-267.83936,57.791626,319.2448,62.068165,2000-05-31 23:55:59,20.833332,15.03638,65.7639,66.756035,>,1.4715565e+21,-4.8916463e+20,9.823918e+20,1.1538074e+19,74.0,141.99974,6.762792e+19,-540.869,517.2339,9.170553,1.0,9.170553
24,9035,2000-06-07 23:22:00,-17.068945,-28.890732,33.24991,4.5632392e+20,-2.7334406e+20,9.066064e+20,2.9465474e+18,75.727104,233.09077,-431.82544,513.14386,2000-06-08 11:22:00,12.0,-16.878765,-22.100761,27.72693,2.5736527e+21,-1.1680039e+21,2.1911297e+21,7.337285e+18,126.18155,376.8181,1.7644407e+20,-2094.7078,1529.279,-1169.212,33.107853,1728.4761,29.488344,-190.84381,33.1079,251.6069,27.995987,2000-06-09 18:36:59,43.249996,-17.078176,-4.6563654,18.157272,,6.2159617e+21,-2.6868976e+21,3.529062e+21,2.0423424e+19,367.72086,558.20764,1.33170825e+20,-2447.7122,2193.9482,60.76196,2.0,31.835272
25,9037,2000-06-10 06:08:00,20.576706,-58.54583,60.52224,2.7269157e+20,-8.774988e+19,7.243303e+20,2.4937627e+18,27.181812,165.45454,-76.99522,236.64082,2000-06-10 18:08:00,12.0,20.782965,-52.799103,55.36894,1.6725419e+21,-1.07641555e+21,1.5287584e+21,9.33207e+18,174.3636,310.18182,1.166542e+20,-661.0734,610.79474,-1534.0143,55.578716,1539.5386,59.104088,-284.12198,55.578716,260.13794,55.368855,2000-06-13 12:41:59,78.566666,21.059584,-15.677256,25.354973,,1.4701682e+22,-6.999708e+21,7.7019705e+21,4.3239887e+19,660.9091,1207.2263,1.8365283e+20,-2111.844,2273.9648,246.0393,6.0,166.42805
26,9038,2000-06-10 10:54:00,14.968518,8.611061,16.786528,3.920249e+20,-4.9992828e+19,4.810574e+20,2.671735e+18,23.590902,150.49998,-328.33682,592.2711,2000-06-10 22:54:00,12.0,15.013995,15.420452,20.940716,1.3496797e+21,-4.010349e+20,9.59733e+20,4.680718e+18,58.363773,211.6364,7.980457e+19,-1442.0729,1521.1602,-633.9346,20.050657,737.1339,20.813225,-128.57414,16.662165,180.11226,20.813198,2000-06-12 15:44:59,54.949997,14.20907,39.02674,40.898586,,4.950855e+21,-1.9588321e+21,2.9920236e+21,2.1309798e+19,312.5454,463.81815,8.2963245e+19,-1598.5902,1877.5635,37.21985,3.0,24.719835
27,9044,2000-06-15 02:12:00,-15.340436,49.305294,51.425285,2.512793e+20,-2.3790492e+20,1.8758863e+20,2.6571153e+18,77.63636,65.454544,-236.84636,176.07484,2000-06-15 14:12:00,12.0,-15.412314,56.291317,58.03724,1.1407292e+21,-7.817048e+20,5.6141486e+20,7.713562e+18,145.13635,111.40909,7.412082e+19,-591.3349,701.43695,-1319.5612,56.06387,1311.2122,54.596306,-242.91544,55.638847,256.33936,54.186775,2000-06-16 20:42:59,42.516663,-15.441698,73.6666,74.798256,,6.6859196e+21,-3.925656e+21,2.7703063e+21,4.150391e+19,280.8375,220.51302,1.5134396e+20,-888.70905,990.78674,59.917164,4.0,23.37547
28,9058,2000-06-22 17:16:00,-14.5690975,-1.7743835,16.690914,1.0886658e+20,-1.4107268e+20,1.1681751e+20,9.648533e+17,61.727303,45.090908,-346.25568,150.82545,2000-06-23 05:16:00,12.0,-14.51906,5.0151567,17.315311,1.5968779e+21,-9.1280885e+20,8.536425e+20,5.7428905e+18,176.0909,159.18175,1.2400094e+20,-1350.1868,1652.8629,-524.58765,16.690891,1156.3264,17.3153,-121.755486,16.69094,195.31792,17.315308,2000-06-27 03:07:59,105.86666,-15.052657,55.81003,57.929825,,2.122338e+22,-1.1716308e+22,9.492436e+21,7.0419247e+19,1062.2732,696.27325,1.994444e+20,-2223.9565,2393.6755,468.11105,7.0,311.82803
29,9063,2000-06-25 14:17:00,25.614511,-61.139015,63.000225,4.949746e+19,-1.994212e+20,5.275029e+19,5.442476e+17,53.90909,15.363636,-206.62524,73.01281,2000-06-26 02:17:00,12.0,25.758755,-54.075573,56.816048,1.1819503e+21,-1.1582026e+21,3.513236e+20,6.497399e+18,209.54546,60.0909,9.437107e+19,-657.3358,538.6964,-1290.101,58.830734,1456.2115,59.06187,-303.688,58.60118,245.75108,59.06187,2000-06-27 23:44:59,57.466663,26.267054,-27.724749,35.662872,>,9.340285e+21,-5.304779e+21,4.035507e+21,3.543669e+19,858.2725,512.9092,1.6167265e+20,-1351.333,2117.8425,77.16933,11.0,51.673378
